ID,y
5760,135.25
5761,123.75
5762,93.0
5763,63.5
5764,38.75
5765,40.75
5766,78.5
5767,168.0
5768,335.5
5769,194.5
5770,168.5
5771,189.5
5772,226.75
5773,256.75
5774,325.75
5775,334.25
5776,343.0
5777,400.25
5778,552.75
5779,386.25
5780,332.75
5781,306.75
5782,286.0
5783,215.25
5784,194.25
5785,194.5
5786,163.5
5787,114.25
5788,66.0
5789,50.0
5790,94.0
5791,161.75
5792,212.25
5793,192.75
5794,227.5
5795,255.75
5796,286.0
5797,295.0
5798,300.5
5799,306.25
5800,310.25
5801,314.25
5802,329.75
5803,312.0
5804,349.5
5805,375.0
5806,350.75
5807,281.0
5808,365.25
5809,322.0
5810,241.25
5811,166.75
5812,94.25
5813,73.25
5814,110.0
5815,184.75
5816,245.0
5817,300.75
5818,278.75
5819,342.0
5820,419.5
5821,448.0
5822,467.75
5823,424.0
5824,365.25
5825,394.75
5826,379.25
5827,370.0
5828,355.5
5829,350.0
5830,337.75
5831,284.0
5832,278.75
5833,254.0
5834,194.25
5835,144.0
5836,81.5
5837,35.75
5838,27.5
5839,31.5
5840,8.25
5841,9.0
5842,13.75
5843,17.25
5844,23.25
5845,20.0
5846,27.5
5847,60.75
5848,52.75
5849,79.75
5850,63.25
5851,64.75
5852,134.75
5853,159.75
5854,151.75
5855,133.75
5856,185.5
5857,154.0
5858,118.0
5859,78.75
5860,59.25
5861,55.0
5862,99.75
5863,141.0
5864,179.25
5865,144.25
5866,176.0
5867,206.0
5868,239.25
5869,265.75
5870,276.5
5871,284.5
5872,282.5
5873,275.25
5874,287.0
5875,260.25
5876,274.5
5877,274.75
5878,255.0
5879,200.75
5880,208.25
5881,182.75
5882,141.75
5883,88.25
5884,62.5
5885,76.5
5886,159.5
5887,364.5
5888,644.0
5889,373.25
5890,244.5
5891,247.0
5892,253.25
5893,265.0
5894,274.0
5895,311.0
5896,312.0
5897,421.5
5898,541.75
5899,310.75
5900,253.5
5901,248.25
5902,226.25
5903,175.25
5904,160.25
5905,138.0
5906,107.25
5907,67.5
5908,50.75
5909,59.5
5910,128.5
5911,291.0
5912,535.0
5913,309.75
5914,212.0
5915,207.5
5916,226.0
5917,230.0
5918,256.75
5919,304.25
5920,300.75
5921,373.0
5922,529.75
5923,337.75
5924,270.5
5925,268.5
5926,254.25
5927,201.0
5928,173.25
5929,148.25
5930,109.75
5931,70.0
5932,53.0
5933,57.5
5934,118.25
5935,283.25
5936,540.25
5937,323.75
5938,254.75
5939,277.25
5940,301.5
5941,310.25
5942,304.25
5943,319.5
5944,334.0
5945,458.25
5946,636.5
5947,433.0
5948,357.5
5949,365.75
5950,337.0
5951,262.75
5952,266.25
5953,228.0
5954,173.25
5955,113.0
5956,74.75
5957,80.25
5958,165.0
5959,375.25
5960,638.0
5961,390.5
5962,280.25
5963,316.0
5964,355.25
5965,366.5
5966,368.25
5967,388.0
5968,421.0
5969,503.0
5970,653.25
5971,408.0
5972,316.0
5973,328.25
5974,301.0
5975,234.0
5976,304.0
5977,311.25
5978,245.75
5979,156.75
5980,103.25
5981,70.25
5982,88.5
5983,152.75
5984,210.0
5985,244.0
5986,228.0
5987,276.0
5988,312.0
5989,351.0
5990,340.25
5991,316.0
5992,261.25
5993,144.25
5994,71.25
5995,73.75
5996,117.0
5997,98.0
5998,78.0
5999,89.25
6000,96.0
6001,106.25
6002,82.0
6003,65.0
6004,31.75
6005,28.5
6006,34.25
6007,50.25
6008,65.5
6009,112.25
6010,138.75
6011,179.75
6012,170.5
6013,256.0
6014,264.5
6015,251.5
6016,244.75
6017,229.5
6018,194.75
6019,162.25
6020,162.75
6021,165.25
6022,164.25
6023,137.0
6024,185.0
6025,178.25
6026,127.25
6027,87.5
6028,58.5
6029,38.5
6030,48.5
6031,81.75
6032,117.5
6033,128.25
6034,104.5
6035,246.0
6036,237.5
6037,374.0
6038,389.5
6039,389.5
6040,304.25
6041,310.25
6042,283.5
6043,235.5
6044,204.25
6045,196.5
6046,169.75
6047,152.0
6048,154.25
6049,115.25
6050,76.0
6051,48.5
6052,39.0
6053,58.5
6054,136.25
6055,315.5
6056,559.5
6057,351.75
6058,255.5
6059,267.75
6060,280.25
6061,279.5
6062,232.5
6063,188.0
6064,119.75
6065,61.75
6066,114.5
6067,74.75
6068,199.0
6069,192.0
6070,192.5
6071,138.75
6072,117.0
6073,105.0
6074,74.75
6075,42.75
6076,29.25
6077,35.75
6078,84.0
6079,180.25
6080,322.25
6081,179.0
6082,122.0
6083,129.0
6084,145.5
6085,146.0
6086,150.5
6087,160.75
6088,170.0
6089,236.25
6090,365.75
6091,233.5
6092,184.25
6093,185.0
6094,159.0
6095,114.75
6096,92.75
6097,79.25
6098,60.25
6099,37.5
6100,25.5
6101,32.0
6102,78.75
6103,169.75
6104,330.5
6105,182.5
6106,123.25
6107,137.25
6108,144.75
6109,147.75
6110,150.75
6111,158.0
6112,166.5
6113,218.25
6114,352.0
6115,229.0
6116,180.25
6117,172.0
6118,162.0
6119,118.75
6120,104.25
6121,91.5
6122,71.0
6123,44.5
6124,29.5
6125,34.25
6126,79.0
6127,169.5
6128,339.25
6129,179.0
6130,120.75
6131,135.5
6132,150.0
6133,149.5
6134,154.5
6135,167.5
6136,170.25
6137,214.25
6138,341.5
6139,223.5
6140,179.75
6141,179.25
6142,161.25
6143,121.75
6144,104.75
6145,92.5
6146,71.25
6147,45.75
6148,32.25
6149,35.5
