,ID,Date,Hour,Temperature(C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day,Year,Week,Month,WeekDay,Dead_hour,Rush_hour,day_night,Humidity_high,Temperature_high,Weather_bad,Ideal,Humidex,Visibility_cat,Rain_cat,Snow_cat,Weather_State,Date_tmp,Prev Month y,Visibility_dist,Weather_stat&visb_dist,Weather&visb,Sky_State,Temp_State,GBL_Forecast,Temperature lag1,Rainfall lag1,Visibility  lag1,Wind speed lag1,Weather_State lag1,Humidity lag1,Rush_hour lag1,Dead_hour lag1,Ideal lag1,Dew point temperature(C) lag1,y
0,5760,2017-12-21,0,-1.3,90,2.0,259,-2.7,0.0,0.0,2.2,0,0,1,2017,51,12,3,0.01831563888873418,0.0,0,1,0,1,1,-4.072914456262479,1,0,1,11,2017-12,230.31666666666666,2,22,61.125108678694914,4,4,16,-1.8,0.0,263.0,1.6,11.0,90.0,0.0,0.049787068367863944,1.0,-3.2,123.41666793823242
1,5761,2017-12-21,1,-1.8,90,1.6,263,-3.2,0.0,0.0,2.2,0,0,1,2017,51,12,3,0.049787068367863944,0.0,0,1,0,1,1,-4.674269180921372,1,0,1,11,2017-12,230.31666666666666,2,22,61.29369435395541,4,4,16,-2.2,0.0,348.0,1.4,11.0,88.0,0.0,0.1353352832366127,1.0,-3.9,110.3333346048991
2,5762,2017-12-21,2,-2.2,88,1.4,348,-3.9,0.0,0.0,2.2,0,0,1,2017,51,12,3,0.1353352832366127,0.0,0,1,0,1,1,-5.210583222290037,1,0,1,11,2017-12,230.31666666666666,2,22,64.37422727751922,4,4,16,-2.9,0.0,288.0,1.3,11.0,89.0,0.0,0.36787944117144233,1.0,-4.4,83.50000127156576
3,5763,2017-12-21,3,-2.9,89,1.3,288,-4.4,0.0,0.0,2.2,0,0,1,2017,51,12,3,0.36787944117144233,0.0,0,1,0,1,1,-6.00409458892166,1,0,1,11,2017-12,230.31666666666666,2,22,62.292565281495406,4,4,16,-3.6,0.0,241.0,1.2,11.0,91.0,0.0,1.0,1.0,-4.8,59.66666666666667
4,5764,2017-12-21,4,-3.6,91,1.2,241,-4.8,0.0,0.0,2.2,0,0,1,2017,51,12,3,1.0,0.0,0,1,0,1,1,-6.776662629684901,0,0,1,11,2017-12,230.31666666666666,2,22,60.3327662683972,4,4,16,-4.3,0.0,233.0,1.5,11.0,91.0,0.0,0.36787944117144233,1.0,-5.5,34.0
5,5765,2017-12-21,5,-4.3,91,1.5,233,-5.5,0.0,0.0,2.2,0,0,1,2017,51,12,3,0.36787944117144233,0.0,0,1,0,1,1,-7.599013758995588,0,0,1,11,2017-12,230.31666666666666,2,22,59.961422989222704,4,4,16,-4.8,0.0,266.0,1.1,11.0,91.0,0.1353352832366127,0.0,1.0,-6.0,38.75000063578288
6,5766,2017-12-21,6,-4.8,91,1.1,266,-6.0,0.0,0.0,2.2,0,0,1,2017,51,12,3,0.0,0.1353352832366127,1,1,0,1,1,-8.182903628675566,1,0,1,11,2017-12,230.31666666666666,2,22,61.41845939659869,4,4,16,-5.3,0.0,311.0,1.1,11.0,90.0,0.36787944117144233,0.0,1.0,-6.6,73.41666666666667
7,5767,2017-12-21,7,-5.3,90,1.1,311,-6.6,0.0,0.0,2.2,0,0,1,2017,51,12,3,0.0,0.36787944117144233,1,1,0,1,1,-8.77985451282849,1,0,1,11,2017-12,230.31666666666666,2,22,63.13772203397157,4,4,16,-5.6,0.0,371.0,0.9,11.0,89.0,1.0,0.0,1.0,-7.1,138.08333587646484
8,5768,2017-12-21,8,-5.6,89,0.9,371,-7.1,0.0,0.0,2.2,0,0,1,2017,51,12,3,0.0,1.0,1,1,0,1,1,-9.157648090632978,1,0,1,11,2017-12,230.31666666666666,2,22,65.07822268868179,4,4,16,-5.3,0.0,463.0,0.4,11.0,88.0,0.36787944117144233,0.0,1.0,-6.9,275.83333333333337
9,5769,2017-12-21,9,-5.3,88,0.4,463,-6.9,0.21,0.0,2.2,0,0,1,2017,51,12,3,0.0,0.36787944117144233,1,1,0,1,1,-8.826851861219346,2,0,1,11,2017-12,230.31666666666666,3,33,67.51499759494857,4,4,16,-3.0,0.0,608.0,0.7,11.0,71.0,0.1353352832366127,0.0,1.0,-7.5,181.33333333333334
